Date,Open,High,Low,Close,Volume
05/04/2018,58435,58921,57173,57270,3234250
05/07/2018,58047,60280,57562,60280,3511210
05/08/2018,59503,60377,59212,59212,2947160
05/09/2018,58921,59212,57756,57756,2787480
05/10/2018,58144,58435,53970,54844,4433980
05/11/2018,54844,56300,52902,56203,3954360
05/14/2018,56494,56785,55232,56591,1522180
05/15/2018,56591,58047,56494,56979,2498910
05/16/2018,56785,57173,55329,55329,2368960
05/17/2018,55329,55717,54552,55135,2079780
05/18/2018,55232,55426,53194,54844,2437850
05/21/2018,54844,55717,54067,54067,1835620
05/22/2018,53291,53873,50476,51835,3235250
05/23/2018,51446,52902,50476,52902,2045320
05/24/2018,52902,53194,51446,51738,1312180
05/25/2018,51835,52126,48534,48534,2718610
05/29/2018,46108,48534,45428,48534,2610350
05/30/2018,49505,51252,49020,50476,4432950
05/31/2018,49990,52902,49893,52514,3736400
06/01/2018,52514,55814,52320,55329,5930650
06/04/2018,54844,57853,54358,57562,3837380
06/05/2018,56882,57853,56009,56882,3532580
06/06/2018,56397,57950,55911,57367,2183260
06/07/2018,57270,57562,56688,56979,2538580
06/08/2018,56591,58629,56591,57950,2693680
06/11/2018,57659,58532,56785,57270,2453150
06/12/2018,56785,57270,54844,56300,3024500
06/13/2018,55911,58144,55911,58144,2054850
06/14/2018,58144,58144,56300,56397,2814340
06/15/2018,55814,57270,55717,57270,2557670
06/18/2018,57173,57270,54358,54844,2461860
06/19/2018,52902,54844,52417,54844,5149160
06/20/2018,55329,56979,54552,56397,2767440
06/21/2018,56300,56494,54747,55329,1637920
06/22/2018,54455,56979,53873,56979,2529630
06/25/2018,58241,58435,57173,57659,2415610
06/26/2018,56785,57659,56300,57562,1346430
06/27/2018,57270,58726,56300,56300,2602270
06/28/2018,55329,56979,55329,56203,2114670
06/29/2018,56203,56979,55135,56300,1439520
07/02/2018,55814,56688,53776,56397,2846420
07/03/2018,56591,56591,54358,54358,3355250
07/04/2018,54552,54844,53096,53970,2452480
07/05/2018,53776,53970,50476,50476,2865870
07/06/2018,49602,53776,49020,53388,3443450
07/09/2018,53388,54747,52417,52417,1434270
07/10/2018,53873,53873,51543,51543,1360490
07/12/2018,49699,52029,49020,50864,1422890
07/13/2018,51738,53291,50476,53194,1709410
07/16/2018,53388,53873,52708,53291,1302130
07/17/2018,52417,54164,52417,54164,1594780
07/18/2018,54164,55814,54164,55814,2473610
07/19/2018,56009,56106,55038,55135,1704000
07/20/2018,54844,55523,53485,55135,2204900
07/23/2018,55135,56688,54844,54941,2618240
07/24/2018,55329,55717,54358,55329,1683260
07/25/2018,55620,55717,53679,53679,1257900
07/26/2018,53776,55038,52902,55038,2107890
07/27/2018,55038,55620,54552,54844,979280
07/30/2018,55329,55717,54844,55620,1288790
07/31/2018,55426,57562,55135,56785,3438180
08/01/2018,57367,57465,56688,56882,1902040
08/02/2018,56494,57270,56009,57270,1855340
08/03/2018,57756,57950,56397,56785,1770230
08/06/2018,56494,57853,56494,57270,1782410
08/07/2018,57076,60085,56882,59697,5488590
08/08/2018,59794,60571,59212,60280,2193510
08/09/2018,60280,60862,59503,59503,2508810
08/10/2018,59212,61638,59212,61638,3849630
08/13/2018,61153,61930,60377,61930,2397270
08/14/2018,61930,61930,60862,60959,1274800
08/15/2018,61347,61541,58726,58824,3238040
08/16/2018,58241,59212,57173,58824,3426320
08/17/2018,59309,61056,59018,60182,2711770
08/20/2018,60182,60668,59600,59600,1601770
08/21/2018,59212,60862,59212,60862,1724610
08/22/2018,60959,61153,60085,60085,1490660
08/23/2018,60182,60959,59794,60765,1301270
08/24/2018,60765,60765,59988,60182,1779380
08/27/2018,60668,61638,60571,61250,1805900
08/28/2018,61638,62415,61056,62124,2588320
08/29/2018,62027,62221,61250,61250,1117930
08/30/2018,61250,62318,60571,61930,1336350
08/31/2018,61930,62124,60182,60668,1949400
09/04/2018,60668,60765,59115,59212,2050280
09/05/2018,59212,59988,58532,58824,1766180
09/06/2018,58824,59212,58435,58532,796450
09/07/2018,58338,60377,58338,60182,1595530
09/10/2018,60182,60765,59309,60182,1505560
09/11/2018,59697,61250,59697,61153,1543540
09/12/2018,61347,61736,60668,60765,1590110
09/13/2018,60959,61541,60765,61056,1069800
09/14/2018,61347,62512,61347,62124,2405940
09/17/2018,62124,62124,61056,61056,1007490
09/18/2018,60668,61444,60474,61444,1077110
09/19/2018,61833,61833,61250,61444,1075000
09/20/2018,61444,62706,61444,62512,1709890
09/21/2018,63095,63774,62124,62706,4889170
09/24/2018,63580,63774,62900,63289,1094970
